category,complexity,model,score,basis,as_of
多模态理解,中,讯飞星火X2.5,,纯文本模型无VLM分,2026-09-23
多模态理解,中,MiniMax-M3,,纯文本模型无VLM分,2026-09-23
多模态理解,高,DeepSeek-V4-Pro-0813,,,2026-09-23
多模态理解,高,DeepSeek-V4-Flash-0731,,,2026-09-23
多模态理解,高,DeepSeek-V4.1-Flash-CED,49.0,,2026-09-23
多模态理解,高,Qwen3.8-Max-0902,,,2026-09-23
多模态理解,高,Kimi-K3,68.4,,2026-09-23
多模态理解,高,Kimi-K2.7-Code,,,2026-09-23
多模态理解,高,GLM-5.2,,,2026-09-23
多模态理解,高,GLM-5.3,,,2026-09-23
多模态理解,高,GLM-5.3-Flash,,,2026-09-23
多模态理解,高,豆包Seed-2.1-Pro,,,2026-09-23
多模态理解,高,Seedream-5.0,,,2026-09-23
多模态理解,高,腾讯混元Hy3,,,2026-09-23
多模态理解,高,腾讯混元Hy4-preview,,,2026-09-23
多模态理解,高,讯飞星火X2.5,,,2026-09-23
多模态理解,高,MiniMax-M3,,,2026-09-23
知识问答/检索,低,DeepSeek-V4-Pro-0813,78.8,,2026-09-23
知识问答/检索,低,DeepSeek-V4-Flash-0731,71.0,,2026-09-23
知识问答/检索,低,DeepSeek-V4.1-Flash-CED,76.9,,2026-09-23
知识问答/检索,低,Qwen3.8-Max-0902,78.6,,2026-09-23
知识问答/检索,低,Kimi-K3,75.5,,2026-09-23
知识问答/检索,低,Kimi-K2.7-Code,,,2026-09-23
知识问答/检索,低,GLM-5.2,70.2,,2026-09-23
知识问答/检索,低,GLM-5.3,74.8,,2026-09-23
知识问答/检索,低,GLM-5.3-Flash,73.3,,2026-09-23
知识问答/检索,低,豆包Seed-2.1-Pro,74.8,,2026-09-23
知识问答/检索,低,Seedream-5.0,,,2026-09-23
知识问答/检索,低,腾讯混元Hy3,72.3,,2026-09-23
知识问答/检索,低,腾讯混元Hy4-preview,,,2026-09-23
知识问答/检索,低,讯飞星火X2.5,,,2026-09-23
知识问答/检索,低,MiniMax-M3,63.0,,2026-09-23
知识问答/检索,中,DeepSeek-V4-Pro-0813,73.0,幻觉+科学+指令+总分,2026-09-23
知识问答/检索,中,DeepSeek-V4-Flash-0731,65.7,幻觉+科学+指令+总分,2026-09-23
知识问答/检索,中,DeepSeek-V4.1-Flash-CED,71.2,幻觉+科学+指令+总分,2026-09-23
知识问答/检索,中,Qwen3.8-Max-0902,72.8,幻觉+科学+指令+总分,2026-09-23
知识问答/检索,中,Kimi-K3,69.9,幻觉+科学+指令+总分,2026-09-23
知识问答/检索,中,Kimi-K2.7-Code,,幻觉+科学+指令+总分,2026-09-23
知识问答/检索,中,GLM-5.2,65.0,幻觉+科学+指令+总分,2026-09-23
知识问答/检索,中,GLM-5.3,69.3,幻觉+科学+指令+总分,2026-09-23
知识问答/检索,中,GLM-5.3-Flash,67.9,幻觉+科学+指令+总分,2026-09-23
知识问答/检索,中,豆包Seed-2.1-Pro,69.3,幻觉+科学+指令+总分,2026-09-23
知识问答/检索,中,Seedream-5.0,,幻觉+科学+指令+总分,2026-09-23
知识问答/检索,中,腾讯混元Hy3,66.9,幻觉+科学+指令+总分,2026-09-23
知识问答/检索,中,腾讯混元Hy4-preview,,幻觉+科学+指令+总分,2026-09-23
知识问答/检索,中,讯飞星火X2.5,,幻觉+科学+指令+总分,2026-09-23
知识问答/检索,中,MiniMax-M3,58.3,幻觉+科学+指令+总分,2026-09-23
知识问答/检索,高,DeepSeek-V4-Pro-0813,67.5,,2026-09-23
知识问答/检索,高,DeepSeek-V4-Flash-0731,59.2,,2026-09-23
知识问答/检索,高,DeepSeek-V4.1-Flash-CED,65.4,,2026-09-23
知识问答/检索,高,Qwen3.8-Max-0902,67.2,,2026-09-23
知识问答/检索,高,Kimi-K3,63.9,,2026-09-23
知识问答/检索,高,Kimi-K2.7-Code,,,2026-09-23
知识问答/检索,高,GLM-5.2,58.4,,2026-09-23
知识问答/检索,高,GLM-5.3,63.2,,2026-09-23
知识问答/检索,高,GLM-5.3-Flash,61.6,,2026-09-23
知识问答/检索,高,豆包Seed-2.1-Pro,63.2,,2026-09-23
知识问答/检索,高,Seedream-5.0,,,2026-09-23
知识问答/检索,高,腾讯混元Hy3,60.5,,2026-09-23
知识问答/检索,高,腾讯混元Hy4-preview,,,2026-09-23
知识问答/检索,高,讯飞星火X2.5,,,2026-09-23
知识问答/检索,高,MiniMax-M3,50.9,,2026-09-23
创意生成,低,DeepSeek-V4-Pro-0813,74.1,,2026-09-23
创意生成,低,DeepSeek-V4-Flash-0731,67.1,,2026-09-23
创意生成,低,DeepSeek-V4.1-Flash-CED,72.8,,2026-09-23
创意生成,低,Qwen3.8-Max-0902,74.6,,2026-09-23
创意生成,低,Kimi-K3,71.7,,2026-09-23
创意生成,低,Kimi-K2.7-Code,,,2026-09-23
创意生成,低,GLM-5.2,65.3,,2026-09-23
创意生成,低,GLM-5.3,71.6,,2026-09-23
创意生成,低,GLM-5.3-Flash,68.7,,2026-09-23
创意生成,低,豆包Seed-2.1-Pro,70.8,,2026-09-23
创意生成,低,Seedream-5.0,,,2026-09-23
创意生成,低,腾讯混元Hy3,67.3,,2026-09-23
创意生成,低,腾讯混元Hy4-preview,,,2026-09-23
创意生成,低,讯飞星火X2.5,,,2026-09-23
创意生成,低,MiniMax-M3,58.0,,2026-09-23
创意生成,中,DeepSeek-V4-Pro-0813,68.6,幻觉+科学+指令+总分,2026-09-23
创意生成,中,DeepSeek-V4-Flash-0731,62.1,幻觉+科学+指令+总分,2026-09-23
创意生成,中,DeepSeek-V4.1-Flash-CED,67.4,幻觉+科学+指令+总分,2026-09-23
创意生成,中,Qwen3.8-Max-0902,69.1,幻觉+科学+指令+总分,2026-09-23
创意生成,中,Kimi-K3,66.4,幻觉+科学+指令+总分,2026-09-23
创意生成,中,Kimi-K2.7-Code,,幻觉+科学+指令+总分,2026-09-23
创意生成,中,GLM-5.2,60.5,幻觉+科学+指令+总分,2026-09-23
创意生成,中,GLM-5.3,66.3,幻觉+科学+指令+总分,2026-09-23
创意生成,中,GLM-5.3-Flash,63.6,幻觉+科学+指令+总分,2026-09-23
创意生成,中,豆包Seed-2.1-Pro,65.6,幻觉+科学+指令+总分,2026-09-23
创意生成,中,Seedream-5.0,,幻觉+科学+指令+总分,2026-09-23
创意生成,中,腾讯混元Hy3,62.3,幻觉+科学+指令+总分,2026-09-23
创意生成,中,腾讯混元Hy4-preview,,幻觉+科学+指令+总分,2026-09-23
创意生成,中,讯飞星火X2.5,,幻觉+科学+指令+总分,2026-09-23
创意生成,中,MiniMax-M3,53.7,幻觉+科学+指令+总分,2026-09-23
创意生成,高,DeepSeek-V4-Pro-0813,62.4,,2026-09-23
创意生成,高,DeepSeek-V4-Flash-0731,55.1,,2026-09-23
创意生成,高,DeepSeek-V4.1-Flash-CED,61.1,,2026-09-23
创意生成,高,Qwen3.8-Max-0902,63.0,,2026-09-23
创意生成,高,Kimi-K3,59.9,,2026-09-23
创意生成,高,Kimi-K2.7-Code,,,2026-09-23
创意生成,高,GLM-5.2,53.4,,2026-09-23
创意生成,高,GLM-5.3,59.8,,2026-09-23
创意生成,高,GLM-5.3-Flash,56.8,,2026-09-23
创意生成,高,豆包Seed-2.1-Pro,59.0,,2026-09-23
创意生成,高,Seedream-5.0,,,2026-09-23
创意生成,高,腾讯混元Hy3,55.3,,2026-09-23
创意生成,高,腾讯混元Hy4-preview,,,2026-09-23
创意生成,高,讯飞星火X2.5,,,2026-09-23
创意生成,高,MiniMax-M3,46.0,,2026-09-23
代码审查与调试,低,DeepSeek-V4-Pro-0813,63.7,,2026-09-23
代码审查与调试,低,DeepSeek-V4-Flash-0731,59.5,,2026-09-23
代码审查与调试,低,DeepSeek-V4.1-Flash-CED,74.2,,2026-09-23
代码审查与调试,低,Qwen3.8-Max-0902,73.0,,2026-09-23
代码审查与调试,低,Kimi-K3,69.4,,2026-09-23
代码审查与调试,低,Kimi-K2.7-Code,67.0,,2026-09-23
代码审查与调试,低,GLM-5.2,59.1,,2026-09-23
代码审查与调试,低,GLM-5.3,74.7,,2026-09-23
代码审查与调试,低,GLM-5.3-Flash,67.1,,2026-09-23
代码审查与调试,低,豆包Seed-2.1-Pro,59.7,,2026-09-23
代码审查与调试,低,Seedream-5.0,,,2026-09-23
代码审查与调试,低,腾讯混元Hy3,55.6,,2026-09-23
代码审查与调试,低,腾讯混元Hy4-preview,,,2026-09-23
代码审查与调试,低,讯飞星火X2.5,,,2026-09-23
代码审查与调试,低,MiniMax-M3,50.1,,2026-09-23
代码审查与调试,中,DeepSeek-V4-Pro-0813,59.0,数学+指令+Agentic编程+Terminal编程,2026-09-23
代码审查与调试,中,DeepSeek-V4-Flash-0731,55.1,数学+指令+Agentic编程+Terminal编程,2026-09-23
代码审查与调试,中,DeepSeek-V4.1-Flash-CED,68.7,数学+指令+Agentic编程+Terminal编程,2026-09-23
代码审查与调试,中,Qwen3.8-Max-0902,67.6,数学+指令+Agentic编程+Terminal编程,2026-09-23
代码审查与调试,中,Kimi-K3,64.3,数学+指令+Agentic编程+Terminal编程,2026-09-23
代码审查与调试,中,Kimi-K2.7-Code,62.0,数学+指令+Agentic编程+Terminal编程,2026-09-23
代码审查与调试,中,GLM-5.2,54.7,数学+指令+Agentic编程+Terminal编程,2026-09-23
代码审查与调试,中,GLM-5.3,69.2,数学+指令+Agentic编程+Terminal编程,2026-09-23
代码审查与调试,中,GLM-5.3-Flash,62.1,数学+指令+Agentic编程+Terminal编程,2026-09-23
代码审查与调试,中,豆包Seed-2.1-Pro,55.3,数学+指令+Agentic编程+Terminal编程,2026-09-23
代码审查与调试,中,Seedream-5.0,,数学+指令+Agentic编程+Terminal编程,2026-09-23
代码审查与调试,中,腾讯混元Hy3,51.5,数学+指令+Agentic编程+Terminal编程,2026-09-23
代码审查与调试,中,腾讯混元Hy4-preview,,数学+指令+Agentic编程+Terminal编程,2026-09-23
代码审查与调试,中,讯飞星火X2.5,,数学+指令+Agentic编程+Terminal编程,2026-09-23
代码审查与调试,中,MiniMax-M3,46.4,数学+指令+Agentic编程+Terminal编程,2026-09-23
代码审查与调试,高,DeepSeek-V4-Pro-0813,51.7,,2026-09-23
代码审查与调试,高,DeepSeek-V4-Flash-0731,47.5,,2026-09-23
代码审查与调试,高,DeepSeek-V4.1-Flash-CED,62.5,,2026-09-23
代码审查与调试,高,Qwen3.8-Max-0902,61.3,,2026-09-23
代码审查与调试,高,Kimi-K3,57.6,,2026-09-23
代码审查与调试,高,Kimi-K2.7-Code,55.0,,2026-09-23
代码审查与调试,高,GLM-5.2,47.0,,2026-09-23
代码审查与调试,高,GLM-5.3,63.1,,2026-09-23
代码审查与调试,高,GLM-5.3-Flash,55.1,,2026-09-23
代码审查与调试,高,豆包Seed-2.1-Pro,47.7,,2026-09-23
代码审查与调试,高,Seedream-5.0,,,2026-09-23
代码审查与调试,高,腾讯混元Hy3,43.6,,2026-09-23
代码审查与调试,高,腾讯混元Hy4-preview,,,2026-09-23
代码审查与调试,高,讯飞星火X2.5,,,2026-09-23
代码审查与调试,高,MiniMax-M3,38.3,,2026-09-23
